central_pressure,wind_speed,latitude,longitude,sst,vertical_wind_shear,relative_humidity,translation_speed
1008.0,30.0,31.4,-66.0,28.64,11.399999999999999,75.0,12.0
1007.0,30.0,31.9,-66.3,28.69,11.899999999999999,75.0,12.0
1007.0,30.0,32.5,-66.6,28.75,12.5,75.0,12.0
1006.0,35.0,34.5,-68.6,28.95,14.5,75.0,12.0
1006.0,35.0,34.4,-68.8,28.94,14.399999999999999,75.0,12.0
1006.0,35.0,34.3,-69.1,28.93,14.299999999999997,75.0,12.0
1006.0,38.0,34.0,-69.0,28.9,14.0,75.0,12.0
1000.0,45.0,32.0,-68.2,28.7,12.0,75.0,12.0
999.0,45.0,31.9,-67.8,28.69,11.899999999999999,75.0,12.0
998.0,45.0,31.7,-67.3,28.67,11.7,75.0,12.0
997.0,48.0,31.5,-66.8,28.65,11.5,75.0,12.0
995.0,50.0,30.0,-64.8,28.5,10.0,75.0,12.0
995.0,50.0,29.7,-64.0,28.97,24.7,75.0,12.0
994.0,50.0,29.4,-63.1,28.94,24.4,75.0,12.0
994.0,50.0,29.4,-62.3,28.94,24.4,75.0,12.0
995.0,45.0,29.6,-58.5,28.96,24.6,75.0,12.0
996.0,45.0,29.6,-57.5,28.96,24.6,75.0,12.0
996.0,45.0,29.7,-56.6,28.97,24.7,75.0,12.0
997.0,43.0,29.9,-55.7,28.99,24.9,75.0,12.0
1000.0,40.0,31.0,-52.3,28.6,11.0,75.0,12.0
1000.0,40.0,31.4,-51.5,28.64,11.399999999999999,75.0,12.0
1001.0,38.0,31.6,-51.0,28.66,11.600000000000001,75.0,12.0
1001.0,35.0,31.9,-50.6,28.69,11.899999999999999,75.0,12.0
1002.0,35.0,32.0,-50.1,28.7,12.0,75.0,12.0
1005.0,35.0,31.9,-48.3,28.69,11.899999999999999,75.0,12.0
1005.0,35.0,31.8,-47.8,28.68,11.8,75.0,12.0
1005.0,35.0,31.6,-47.2,28.66,11.600000000000001,75.0,12.0
1005.0,35.0,31.5,-46.6,28.65,11.5,75.0,12.0
1005.0,35.0,31.5,-46.0,28.65,11.5,75.0,12.0
1004.0,33.0,31.6,-43.7,28.66,11.600000000000001,75.0,12.0
1003.0,30.0,31.7,-43.1,28.67,11.7,75.0,12.0
1004.0,30.0,31.8,-42.6,28.68,11.8,75.0,12.0
1004.0,30.0,31.8,-42.1,28.68,11.8,75.0,12.0
1005.0,30.0,31.9,-41.5,28.69,11.899999999999999,75.0,12.0
1002.0,35.0,32.6,-37.0,28.76,12.600000000000001,75.0,12.0
1002.0,35.0,32.9,-35.6,28.79,12.899999999999999,75.0,12.0
1002.0,38.0,33.3,-34.2,28.83,13.299999999999997,75.0,12.0
1002.0,40.0,33.6,-32.8,28.86,13.600000000000001,75.0,12.0
1000.0,40.0,35.7,-24.1,28.57,15.700000000000003,75.0,12.0
1000.0,40.0,36.1,-22.4,28.61,16.1,75.0,12.0
1008.0,30.0,9.6,-43.4,28.96,19.6,75.0,12.0
1008.0,30.0,9.7,-44.2,28.97,19.7,75.0,12.0
1009.0,30.0,9.7,-45.0,28.97,19.7,75.0,12.0
1010.0,30.0,9.7,-45.9,28.97,19.7,75.0,12.0
1008.0,20.0,20.0,-89.3,28.5,15.0,75.0,12.0
1008.0,20.0,20.1,-89.3,28.51,15.100000000000001,75.0,12.0
1008.0,20.0,20.3,-89.4,28.53,15.3,75.0,12.0
1008.0,20.0,20.6,-89.6,28.56,15.600000000000001,75.0,12.0
1008.0,20.0,21.0,-89.8,28.6,16.0,75.0,12.0
1007.0,35.0,23.4,-90.5,28.84,18.4,75.0,12.0
1008.0,38.0,24.0,-90.8,28.9,19.0,75.0,12.0
1009.0,40.0,24.6,-91.1,28.96,19.6,75.0,12.0
1009.0,43.0,25.3,-91.2,28.53,20.3,75.0,12.0
1008.0,45.0,25.9,-91.3,28.59,20.9,75.0,12.0
1002.0,50.0,28.2,-91.5,28.82,23.2,75.0,12.0
1000.0,50.0,28.6,-91.3,28.86,23.6,75.0,12.0
997.0,50.0,29.1,-91.0,28.91,24.1,75.0,12.0
998.0,48.0,29.8,-90.7,28.98,24.8,75.0,12.0
998.0,45.0,30.4,-90.3,28.54,10.399999999999999,75.0,12.0
1004.0,25.0,32.7,-88.4,28.77,12.700000000000003,75.0,12.0
